\eta_{prop}: propeller efficiency: 0.8:  ['Mission', 'FlightSegment', 'SteadyLevelFlight'] 
\bar{S}_{tip}: Tip loading: 1e-10:  ['Mission', 'AircraftLoading', 'WingLoading', 'ChordSparL', 'Beam'] 
\kappa: max tip deflection ratio: 0.2:  ['Mission', 'AircraftLoading', 'WingLoading', 'GustL'] 
g: Gravitational acceleration: 9.81:  ['Mission', 'Aircraft', 'Empennage', 'VerticalTail'] 
g: gravitational constant: 9.81:  ['Mission', 'Aircraft', 'Battery'] 
C_{L_{max}}: maximum CL of vertical tail: 1.1:  ['Mission', 'Aircraft', 'Empennage', 'VerticalTail'] 
B_{PM}: power mass ratio: 4140.8:  ['Mission', 'Aircraft', 'Motor'] 
\bar{q}: normalized loading: None:  ['Mission', 'AircraftLoading', 'WingLoading', 'ChordSparL'] 
Re**1.00_{up-bound}: Re**1.00 upper bound: 1000000.0:  ['Mission', 'FlightSegment', 'AircraftPerf', 'TailAero'] 
p_{wind}: percentile wind speeds: 0.9:  ['Mission', 'FlightSegment', 'FlightState'] 
\mu: viscosity: 1.42e-05:  ['Mission', 'FlightSegment', 'FlightState'] 
g: gravitational acceleration: 9.81:  ['Mission', 'Aircraft', 'Wing', 'CapSpar'] 
\rho_{CFRP}: density of CFRP: 1.6:  ['Mission', 'Aircraft', 'Empennage', 'TailBoom'] 
\bar{\delta}_{root}: Base deflection: 1e-10:  ['Mission', 'AircraftLoading', 'WingLoading', 'GustL', 'Beam'] 
t_{min}: wing skin min gauge: 0.012:  ['Mission', 'Aircraft', 'Wing', 'WingSkin'] 
\rho_{solar}: solar cell area density: 0.27:  ['Mission', 'Aircraft', 'SolarCells'] 
E: young's modulus carbon fiber: 1.5e+11:  ['Mission', 'Aircraft', 'Empennage', 'TailBoom'] 
\bar{M}_{tip}: Tip moment: 1e-10:  ['Mission', 'AircraftLoading', 'WingLoading', 'ChordSparL', 'Beam'] 
\sigma_{CFRP}: CFRP max stress: 1700000000.0:  ['Mission', 'AircraftLoading', 'WingLoading', 'GustL'] 
g: gravitational constant: 9.81:  ['Mission', 'Aircraft', 'Motor'] 
\lambda_h/(\lambda_h+1): horizontal tail taper ratio factor: 0.444444444444:  ['Mission', 'Aircraft', 'Empennage', 'HorizontalTail'] 
g: Gravitational acceleration: 9.81:  ['Mission', 'Aircraft', 'Empennage', 'TailBoom'] 
m_{fac}: Tail weight margin factor: 1.0:  ['Mission', 'Aircraft', 'Empennage'] 
V_{NE}: never exceed vehicle speed: 40:  ['Mission', 'AircraftLoading', 'EmpennageLoading', 'TailBoomState'] 
\eta_{discharge}: discharging efficiency: 0.98:  ['Mission', 'Aircraft', 'Battery'] 
\bar{A}_{NACA0008}: cross sectional area of NACA 0008: 0.0548:  ['Mission', 'Aircraft', 'Empennage', 'VerticalTail'] 
\rho_{sl}: air density at sea level: 1.225:  ['Mission', 'AircraftLoading', 'EmpennageLoading', 'TailBoomState'] 
\rho_{ref}: reference air density: 1.0:  ['Mission', 'FlightSegment', 'FlightState'] 
\rho_{CFRP}: density of CFRP: 1.6:  ['Mission', 'Aircraft', 'Wing', 'WingSkin'] 
m_{fac}: wind speed margin factor: 1.0:  ['Mission', 'FlightSegment', 'FlightState'] 
1-cos(\eta)**1.00V**-1.00V_{gust}**1.00_{up-bound}: 1-cos(\eta)**1.00V**-1.00V_{gust}**1.00 upper bound: 0.7:  ['Mission', 'AircraftLoading', 'WingLoading', 'GustL'] 
Re**1.00_{up-bound}: Re**1.00 upper bound: 1000000.0:  ['Mission', 'FlightSegment', 'AircraftPerf', 'TailAero'] 
(1-k/2): (1-k/2): 0.6:  ['Mission', 'Aircraft', 'Empennage', 'TailBoom'] 
\eta: motor efficiency: 0.95:  ['Mission', 'Aircraft', 'Motor'] 
\bar{J/t}: torsional moment of inertia: 0.01114:  ['Mission', 'Aircraft', 'Wing', 'WingSkin'] 
\rho_{foam}: Density of formular 250: 1.5:  ['Mission', 'Aircraft', 'Empennage', 'VerticalTail'] 
\tau_{CFRP}: torsional stress limit: 210:  ['Mission', 'AircraftLoading', 'EmpennageLoading', 'VerticalBoomTorsion'] 
\lambda_v/(\lambda_v+1): vertical tail taper ratio factor: 0.411764705882:  ['Mission', 'Aircraft', 'Empennage', 'VerticalTail'] 
\theta_{root}: Base angle: 1e-10:  ['Mission', 'AircraftLoading', 'WingLoading', 'GustL', 'Beam'] 
V_v: vertical tail volume coefficient: 0.05:  ['Mission', 'Aircraft', 'Empennage', 'VerticalTail'] 
k: tail boom inertia value: 0.8:  ['Mission', 'Aircraft', 'Empennage', 'TailBoom'] 
\eta_{charge}: charging efficiency: 0.98:  ['Mission', 'Aircraft', 'Battery'] 
\bar{c}_{ave}: normalized mid section chord: None:  ['Mission', 'Aircraft', 'Wing'] 
